,cast,eng_title,other,rating,title
140,"[' Kirk De Micco', ' Chris Sanders']",The Croods,"['科克·德·米科', '克里斯·桑德斯', '美国', '喜剧', '动画']",8.7,疯狂原始人
141,"[' John Woo', 'Fat Chow', ' Lung Ti']",A Better Tomorrow  /  Gangland Boss,"['吴宇森', '周润发', '狄龙', '中国香港', '剧情', '动作']",8.7,英雄本色
142,"[' Ang Lee', ' Winston Chao', ' Sihung Lung']",囍宴,"['李安', '赵文瑄', '郎雄', '中国台湾', '美国', '剧情', '喜剧', '爱情', '同性']",8.9,喜宴
143,"[' Akira Kurosawa', ' Mifune']",七人の侍,"['黑泽明', '三船敏郎', '志村乔', '日本', '动作', '冒险']",9.2,七武士
144,[' Isao Takahata'],火垂るの墓,"['高畑勋', '辰己努', '白石绫乃', '志乃原良子', '日本', '动画', '剧情']",8.7,萤火虫之墓
145,"[' Kar Wai Wong', ' Leslie Cheung']",東邪西毒,"['王家卫', '张国荣', '林青霞', '中国香港', '中国台湾', '剧情', '动作', '爱情', '武侠']",8.6,东邪西毒
146,"[' Joe Wright', ' Keira Knightley']",Pride & Prejudice,"['乔·怀特', '凯拉·奈特莉', '法国', '英国', '美国', '剧情']",8.6,傲慢与偏见
147,"[' Richard Curtis', ' Hugh Grant']",Love Actually,"['理查德·柯蒂斯', '休·格兰特', '英国', '美国', '法国', '喜剧', '剧情']",8.6,真爱至上
148,"[' Richard Curtis', ' Domhnall']",About Time,"['理查德·柯蒂斯', '多姆纳尔·格里森', '英国', '喜剧', '爱情']",8.7,时空恋旅人
149,"[' Danny Boyle', ' Loveleen Tandan']",Slumdog Millionaire,"['丹尼·鲍尔', '洛芙琳·坦丹', '英国', '美国', '剧情']",8.6,贫民窟的百万富翁
150,[' Darren Aronofsky'],Black Swan,"['达伦·阿罗诺夫斯基', '娜塔莉·波特曼', '美国', '剧情']",8.5,黑天鹅
151,"[' Christopher Nolan', ' Guy Pearce']",Memento,"['克里斯托弗·诺兰', '盖·皮尔斯', '美国', '犯罪', '剧情', '悬疑']",8.6,记忆碎片
